sample_id,reference_file,search_file,difficulty_level_5_name,generation_mode,gt_x,gt_y,pred_x,pred_y,pixel_error,pass_5px,pass_4px,pass_2px,pass_1px,runtime_s
sample_1095,sample_1095/reference.png,sample_1095/search.png,very_hard,realistic,272.3,317.1,270.94,316.97,1.36,True,True,True,False,0.8951
sample_1393,sample_1393/reference.png,sample_1393/search.png,failure_case,expanded,548.0,303.7,546.53,303.74,1.47,True,True,True,False,0.8168
sample_0203,sample_0203/reference.png,sample_0203/search.png,easy,realistic,182.2,309.2,181.95,309.16,0.25,True,True,True,True,0.8232
sample_1201,sample_1201/reference.png,sample_1201/search.png,failure_case,expanded,289.5,910.7,285.27,910.87,4.24,True,False,False,False,0.8211
sample_1112,sample_1112/reference.png,sample_1112/search.png,very_hard,realistic,489.9,355.2,488.61,355.11,1.29,True,True,True,False,0.817
sample_0083,sample_0083/reference.png,sample_0083/search.png,easy,legacy,234.2,904.2,233.67,904.14,0.53,True,True,True,True,0.8356
sample_0858,sample_0858/reference.png,sample_0858/search.png,hard,legacy,285.2,831.5,282.94,831.77,2.28,True,True,False,False,0.8294
sample_0990,sample_0990/reference.png,sample_0990/search.png,very_hard,expanded,948.3,88.9,948.81,50.0,38.9,False,False,False,False,0.8338
sample_0553,sample_0553/reference.png,sample_0553/search.png,moderate,legacy,235.5,715.0,234.61,714.98,0.89,True,True,True,True,0.8038
sample_1409,sample_1409/reference.png,sample_1409/search.png,failure_case,expanded,846.5,140.8,845.25,140.21,1.38,True,True,True,False,0.8239
sample_0948,sample_0948/reference.png,sample_0948/search.png,very_hard,expanded,335.4,320.2,334.55,319.99,0.88,True,True,True,True,0.8171
sample_0501,sample_0501/reference.png,sample_0501/search.png,moderate,realistic,449.7,709.2,448.57,709.19,1.13,True,True,True,False,0.8129
sample_0304,sample_0304/reference.png,sample_0304/search.png,moderate,realistic,167.8,661.4,167.08,661.35,0.73,True,True,True,True,0.8204
sample_0238,sample_0238/reference.png,sample_0238/search.png,easy,expanded,164.4,479.4,71.98,489.99,93.03,False,False,False,False,0.8104
sample_1419,sample_1419/reference.png,sample_1419/search.png,failure_case,expanded,270.4,372.9,269.9,294.11,78.79,False,False,False,False,0.8239
sample_1464,sample_1464/reference.png,sample_1464/search.png,failure_case,expanded,275.4,406.7,273.31,406.95,2.1,True,True,False,False,0.809
sample_1236,sample_1236/reference.png,sample_1236/search.png,failure_case,realistic,155.8,933.0,153.86,932.65,1.97,True,True,True,False,0.83
sample_0747,sample_0747/reference.png,sample_0747/search.png,hard,realistic,132.4,680.6,130.49,680.75,1.91,True,True,True,False,0.872
sample_0834,sample_0834/reference.png,sample_0834/search.png,hard,realistic,511.3,655.0,509.82,655.17,1.49,True,True,True,False,0.8815
sample_1103,sample_1103/reference.png,sample_1103/search.png,very_hard,legacy,547.3,646.3,545.31,646.21,1.99,True,True,True,False,0.808
sample_0856,sample_0856/reference.png,sample_0856/search.png,hard,expanded,439.5,335.9,439.11,291.29,44.61,False,False,False,False,0.8107
sample_1305,sample_1305/reference.png,sample_1305/search.png,failure_case,expanded,876.7,481.0,874.69,480.98,2.01,True,True,False,False,0.8081
sample_1181,sample_1181/reference.png,sample_1181/search.png,very_hard,realistic,77.4,661.9,740.32,410.5,708.99,False,False,False,False,0.8069
sample_1057,sample_1057/reference.png,sample_1057/search.png,very_hard,legacy,487.3,79.0,486.99,78.93,0.31,True,True,True,True,0.808
sample_0133,sample_0133/reference.png,sample_0133/search.png,easy,legacy,432.7,675.8,432.36,675.82,0.34,True,True,True,True,0.8022
sample_1202,sample_1202/reference.png,sample_1202/search.png,failure_case,realistic,565.8,273.1,564.04,273.17,1.76,True,True,True,False,0.8075
sample_0429,sample_0429/reference.png,sample_0429/search.png,moderate,realistic,921.4,908.3,920.09,828.97,79.34,False,False,False,False,0.8112
sample_0265,sample_0265/reference.png,sample_0265/search.png,easy,realistic,679.7,611.0,678.98,610.99,0.72,True,True,True,True,0.8052
sample_0906,sample_0906/reference.png,sample_0906/search.png,very_hard,realistic,531.7,872.7,529.86,872.64,1.84,True,True,True,False,0.8637
sample_1347,sample_1347/reference.png,sample_1347/search.png,failure_case,realistic,79.2,895.2,74.63,895.99,4.64,True,False,False,False,0.8594
